
                   **** ELAST ****

This programm is free software an may be freely distributed
for no-commercial purposes .

 (C) 1996-98 by Boris Harss, ANL

Reaction: 58NI(126XE,126XE)58NI    Q = 0.000000

Angle     Energy3_+ Angle4_-  Energy4_- Energy3_- Angle4_+  Energy4_+ 
      8.6   526.796  -76.4338   27.2036   79.4679  -5.17093   474.532 
      8.7   526.159  -76.2665   27.8405   79.5639  -5.23446   474.436 
      8.8   525.515  -76.0992    28.485   79.6613  -5.29812   474.339 
      8.9   524.863  -75.9318   29.1368     79.76  -5.36191    474.24 
        9   524.204  -75.7643    29.796   79.8601  -5.42584    474.14 
      9.1   523.537  -75.5968   30.4627   79.9616  -5.48989   474.038 
      9.2   522.863  -75.4291   31.1367   80.0645  -5.55408   473.935 
      9.3   522.182  -75.2615   31.8182   80.1688   -5.6184   473.831 
      9.4   521.493  -75.0937   32.5072   80.2745  -5.68287   473.725 
      9.5   520.796  -74.9258   33.2035   80.3817  -5.74747   473.618 
      9.6   520.093  -74.7579   33.9073   80.4902  -5.81222    473.51 
      9.7   519.381  -74.5898   34.6186   80.6002  -5.87711     473.4 
      9.8   518.663  -74.4217   35.3372   80.7117  -5.94215   473.288 
      9.9   517.937  -74.2535   36.0634   80.8247  -6.00734   473.175 
       10   517.203  -74.0851    36.797   80.9391  -6.07268   473.061 
     10.1   516.462  -73.9167    37.538    81.055  -6.13818   472.945 
     10.2   515.713  -73.7481   38.2865   81.1724  -6.20383   472.828 
     10.3   514.958  -73.5794   39.0425   81.2914  -6.26964   472.709 
     10.4   514.194  -73.4107   39.8059   81.4119  -6.33561   472.588 
     10.5   513.423  -73.2417   40.5768   81.5339  -6.40175   472.466 
     10.6   512.645  -73.0727   41.3552   81.6574  -6.46805   472.343 
     10.7   511.859  -72.9035   42.1411   81.7826  -6.53452   472.217 
     10.8   511.066  -72.7342   42.9345   81.9093  -6.60116   472.091 
     10.9   510.265  -72.5648   43.7353   82.0376  -6.66798   471.962 
       11   509.456  -72.3952   44.5437   82.1676  -6.73497   471.832 
     11.1    508.64  -72.2255   45.3596   82.2991  -6.80214   471.701 
     11.2   507.817  -72.0556    46.183   82.4323  -6.86949   471.568 
     11.3   506.986  -71.8856   47.0139   82.5672  -6.93702   471.433 
     11.4   506.148  -71.7154   47.8524   82.7037  -7.00474   471.296 
     11.5   505.302  -71.5451   48.6983   82.8419  -7.07265   471.158 
     11.6   504.448  -71.3746   49.5519   82.9818  -7.14076   471.018 
     11.7   503.587   -71.204   50.4129   83.1235  -7.20905   470.877 
     11.8   502.718  -71.0332   51.2816   83.2668  -7.27755   470.733 
     11.9   501.842  -70.8622   52.1578    83.412  -7.34624   470.588 
       12   500.958   -70.691   53.0415   83.5589  -7.41514   470.441 
     12.1   500.067  -70.5196   53.9329   83.7075  -7.48425   470.292 
     12.2   499.168  -70.3481   54.8318    83.858  -7.55356   470.142 
     12.3   498.262  -70.1764   55.7383   84.0103  -7.62309    469.99 
     12.4   497.348  -70.0045   56.6525   84.1645  -7.69283   469.836 
     12.5   496.426  -69.8324   57.5743   84.3205  -7.76279    469.68 
     12.6   495.496  -69.6601   58.5037   84.4783  -7.83298   469.522 
     12.7   494.559  -69.4876   59.4407   84.6381  -7.90339   469.362 
     12.8   493.615  -69.3149   60.3854   84.7998  -7.97403     469.2 
     12.9   492.662   -69.142   61.3377   84.9635   -8.0449   469.037 
       13   491.702  -68.9688   62.2977    85.129    -8.116   468.871 
     13.1   490.735  -68.7955   63.2654   85.2966  -8.18735   468.703 
     13.2   489.759  -68.6219   64.2408   85.4662  -8.25893   468.534 
     13.3   488.776  -68.4481   65.2239   85.6378  -8.33077   468.362 
     13.4   487.785  -68.2741   66.2147   85.8115  -8.40285   468.189 
     13.5   486.787  -68.0999   67.2132   85.9872  -8.47519   468.013 
     13.6   485.781  -67.9254   68.2195    86.165  -8.54778   467.835 
     13.7   484.766  -67.7506   69.2335   86.3449  -8.62063   467.655 
     13.8   483.745  -67.5757   70.2553    86.527  -8.69375   467.473 
     13.9   482.715  -67.4004   71.2849   86.7113  -8.76714   467.289 
       14   481.678   -67.225   72.3223   86.8977   -8.8408   467.102 
     14.1   480.632  -67.0492   73.3675   87.0864  -8.91474   466.914 
     14.2   479.579  -66.8732   74.4206   87.2773  -8.98896   466.723 
     14.3   478.519  -66.6969   75.4815   87.4704  -9.06347    466.53 
     14.4    477.45  -66.5204   76.5503   87.6659  -9.13826   466.334 
     14.5   476.373  -66.3436   77.6269   87.8637  -9.21335   466.136 
     14.6   475.289  -66.1665   78.7115   88.0639  -9.28874   465.936 
     14.7   474.196  -65.9891    79.804   88.2664  -9.36444   465.734 
     14.8   473.096  -65.8114   80.9044   88.4714  -9.44044   465.529 
     14.9   471.987  -65.6334   82.0128   88.6788  -9.51675   465.321 
       15   470.871  -65.4551   83.1291   88.8887  -9.59338   465.111 
     15.1   469.746  -65.2765   84.2535   89.1011  -9.67034   464.899 
     15.2   468.614  -65.0976   85.3859   89.3161  -9.74762   464.684 
     15.3   467.474  -64.9184   86.5264   89.5336  -9.82524   464.466 
     15.4   466.325  -64.7388   87.6749   89.7538  -9.90319   464.246 
     15.5   465.169  -64.5589   88.8315   89.9766  -9.98149   464.023 
     15.6   464.004  -64.3787   89.9962   90.2021  -10.0601   463.798 
     15.7   462.831  -64.1981   91.1691   90.4303  -10.1391    463.57 
     15.8    461.65  -64.0172   92.3502   90.6613  -10.2185   463.339 
     15.9   460.461   -63.836   93.5394   90.8951  -10.2982   463.105 
       16   459.263  -63.6543   94.7369   91.1317  -10.3783   462.868 
     16.1   458.057  -63.4723   95.9426   91.3712  -10.4588   462.629 
     16.2   456.843    -63.29   97.1567   91.6137  -10.5397   462.386 
     16.3   455.621  -63.1072    98.379   91.8591  -10.6209   462.141 
     16.4    454.39  -62.9241   99.6097   92.1075  -10.7026   461.893 
     16.5   453.151  -62.7406   100.849    92.359  -10.7847   461.641 
     16.6   451.904  -62.5567   102.096   92.6135  -10.8671   461.386 
     16.7   450.648  -62.3724   103.352   92.8712    -10.95   461.129 
     16.8   449.383  -62.1876   104.617   93.1322  -11.0333   460.868 
     16.9    448.11  -62.0025    105.89   93.3963  -11.1171   460.604 
       17   446.829  -61.8169   107.171   93.6638  -11.2013   460.336 
     17.1   445.539  -61.6308   108.461   93.9346  -11.2859   460.065 
     17.2    444.24  -61.4444    109.76   94.2088   -11.371   459.791 
     17.3   442.933  -61.2574   111.067   94.4865  -11.4565   459.514 
     17.4   441.616    -61.07   112.384   94.7677  -11.5426   459.232 
     17.5   440.291  -60.8822   113.709   95.0524  -11.6291   458.948 
     17.6   438.958  -60.6938   115.042   95.3408  -11.7161   458.659 
     17.7   437.615   -60.505   116.385   95.6329  -11.8036   458.367 
     17.8   436.263  -60.3157   117.737   95.9287  -11.8916   458.071 
     17.9   434.903  -60.1259   119.097   96.2284  -11.9801   457.772 
       18   433.533  -59.9355   120.467    96.532  -12.0691   457.468 
     18.1   432.155  -59.7447   121.845   96.8395  -12.1587   457.161 
     18.2   430.767  -59.5532   123.233    97.151  -12.2488   456.849 
     18.3    429.37  -59.3613    124.63   97.4667  -12.3395   456.533 
     18.4   427.964  -59.1688   126.036   97.7865  -12.4308   456.214 
     18.5   426.548  -58.9757   127.452   98.1105  -12.5226   455.889 
     18.6   425.123   -58.782   128.877   98.4389   -12.615   455.561 
     18.7   423.689  -58.5878   130.311   98.7717   -12.708   455.228 
     18.8   422.245  -58.3929   131.755    99.109  -12.8017   454.891 
     18.9   420.791  -58.1974   133.209   99.4509  -12.8959   454.549 
       19   419.328  -58.0013   134.672   99.7975  -12.9908   454.203 
     19.1   417.855  -57.8046   136.145   100.149  -13.0863   453.851 
