!FILE=Disk
!KIND=Spectrum
!LABORATORY=Oslo Cyclotron Laboratory (OCL)
!EXPERIMENT=mama
!COMMENT=Range curve for alp on silicon                              
!TIME=DATE:Tue May 25 11:18:14 2004
!CALIBRATION EkeV=3, 0.000000E+00, 0.400000E+02, 0.000000E+00
!PRECISION=16
!DIMENSION=1,0:2047
!CHANNEL=(0:2047)
     235.054    235.793    236.533    237.274    238.016    238.759    239.503
     240.248    240.995    241.742    242.491    243.240    243.991    244.743
     245.496    246.250    247.005    247.762    248.519    249.278    250.037
     250.798    251.560    252.323    253.087    253.852    254.619    255.386
     256.154    256.924    257.695    258.466    259.239    260.013    260.789
     261.565    262.342    263.120    263.900    264.681    265.462    266.245
     267.029    267.814    268.600    269.387    270.176    270.965    271.756
     272.547    273.340    274.134    274.929    275.725    276.522    277.320
     278.120    278.920    279.722    280.525    281.328    282.133    282.939
     283.746    284.554    285.364    286.174    286.985    287.798    288.612
     289.426    290.242    291.059    291.877    292.696    293.516    294.338
     295.160    295.984    296.808    297.634    298.461    299.289    300.118
     300.948    301.779    302.612    303.445    304.280    305.115    305.952
     306.790    307.629    308.469    309.310    310.152    310.995    311.840
     312.685    313.532    314.380    315.228    316.078    316.929    317.781
     318.634    319.489    320.344    321.200    322.058    322.917    323.776
     324.637    325.499    326.362    327.226    328.092    328.958    329.825
     330.694    331.563    332.434    333.306    334.179    335.053    335.928
     336.804    337.681    338.559    339.439    340.319    341.201    342.084
     342.968    343.852    344.738    345.625    346.514    347.403    348.293
     349.185    350.077    350.971    351.866    352.762    353.658    354.557
     355.456    356.356    357.257    358.159    359.063    359.967    360.873
     361.780    362.688    363.597    364.507    365.418    366.330    367.243
     368.158    369.073    369.990    370.907    371.826    372.746    373.667
     374.589    375.512    376.436    377.361    378.288    379.215    380.144
     381.073    382.004    382.936    383.869    384.803    385.738    386.674
     387.611    388.549    389.489    390.429    391.371    392.314    393.257
     394.202    395.148    396.095    397.043    397.993    398.943    399.894
     400.847    401.800    402.755    403.711    404.668    405.625    406.584
     407.544    408.506    409.468    410.431    411.396    412.361    413.328
     414.295    415.264    416.234    417.205    418.177    419.150    420.124
     421.100    422.076    423.053    424.032    425.011    425.992    426.974
     427.957    428.941    429.926    430.912    431.899    432.887    433.877
     434.867    435.859    436.851    437.845    438.840    439.836    440.833
     441.831    442.830    443.830    444.831    445.834    446.837    447.842
     448.847    449.854    450.862    451.870    452.880    453.891    454.904
     455.917    456.931    457.946    458.963    459.980    460.999    462.018
     463.039    464.061    465.084    466.108    467.133    468.159    469.186
     470.215    471.244    472.275    473.306    474.339    475.372    476.407
     477.443    478.480    479.518    480.557    481.597    482.639    483.681
     484.724    485.769    486.815    487.861    488.909    489.958    491.008
     492.059    493.111    494.164    495.218    496.273    497.330    498.387
     499.446    500.505    501.566    502.628    503.690    504.754    505.819
     506.885    507.953    509.021    510.090    511.160    512.232    513.304
     514.378    515.453    516.528    517.605    518.683    519.762    520.842
     521.923    523.005    524.089    525.173    526.259    527.345    528.432
     529.521    530.611    531.702    532.794    533.886    534.981    536.076
     537.172    538.269    539.367    540.467    541.567    542.669    543.772
     544.875    545.980    547.086    548.193    549.301    550.410    551.520
     552.631    553.743    554.857    555.971    557.087    558.203    559.321
     560.439    561.559    562.680    563.802    564.925    566.049    567.174
     568.301    569.428    570.556    571.686    572.816    573.948    575.080
     576.214    577.349    578.485    579.622    580.760    581.899    583.039
     584.180    585.322    586.466    587.610    588.756    589.902    591.050
     592.199    593.348    594.499    595.651    596.804    597.958    599.113
     600.270    601.427    602.585    603.745    604.905    606.067    607.229
     608.393    609.558    610.723    611.890    613.058    614.227    615.397
     616.568    617.741    618.914    620.088    621.264    622.440    623.618
     624.797    625.976    627.157    628.339    629.522    630.706    631.891
     633.077    634.264    635.452    636.642    637.832    639.023    640.216
     641.410    642.604    643.800    644.997    646.194    647.393    648.593
