 83  36  47   0 .382E+03 .240E+03 .644044E+01 .565000E-02 13.56
 86  37  49   5 .100E+03 .200E+02 .865095E+01 .102000E-02 10.47
 88  37  51   3 .160E+04 .420E+03 .608250E+01 .415000E-02 10.42
 85  38  47   0 .400E+03 .150E+03 .734024E+01 .796000E-02 12.06
 87  38  49   0 .100E+04 .300E+03 .753395E+01 .100000E-02 11.13
 88  38  50   9 .121E+03 .130E+02 .786859E+01 .133000E-02 10.05
 89  38  51   0 .120E+05 .200E+04 .510256E+01 .200000E-02 10.67
 90  39  51   1 .120E+04 .200E+03 .685708E+01 .150000E-03 10.66
 91  40  51   0 .640E+04 .110E+04 .620254E+01 .143000E-02 10.45
 92  40  52   5 .300E+03 .800E+02 .653507E+01 .163000E-02 11.99
 93  40  53   0 .260E+04 .700E+03 .568919E+01 .482000E-02 12.29
 95  40  55   0 .250E+04 .400E+03 .536083E+01 .475000E-02 12.88
 97  40  57   0 .300E+04 .800E+03 .422568E+01 .130400E-01 14.43
 94  41  53   9 .740E+02 .100E+02 .722747E+01 .900000E-04 12.47
 93  42  51   0 .180E+04 .300E+03 .686940E+01 .210000E-02 10.99
 95  42  53   0 .115E+04 .350E+03 .603677E+01 .161000E-02 12.52
 96  42  54   5 .910E+02 .110E+02 .660683E+01 .127000E-02 12.87
 97  42  55   0 .980E+03 .140E+03 .556128E+01 .194000E-02 13.70
 98  42  56   5 .780E+02 .100E+02 .609975E+01 .122000E-02 13.89
 99  42  57   0 .970E+03 .220E+03 .486252E+01 .271000E-02 15.62
101  42  59   0 .700E+03 .500E+02 .441891E+01 .123200E-01 17.67
100  43  57   9 .260E+02 .500E+01 .676440E+01 .100000E-02 15.07
100  44  56   5 .340E+02 .700E+01 .680547E+01 .610000E-02 13.46
102  44  58   5 .180E+02 .200E+01 .625655E+01 .107200E-01 15.05
103  44  59   0 .550E+03 .150E+03 .507348E+01 .456000E-02 15.95
104  44  60   5 .750E+01 .380E+01 .594087E+01 .112600E-01 16.92
104  45  59   1 .370E+02 .400E+01 .699905E+01 .600000E-04 15.45
105  46  59   0 .240E+03 .300E+02 .591652E+01 .272000E-02 15.51
106  46  60   5 .133E+02 .170E+01 .672450E+01 .423000E-02 14.95
107  46  61   0 .270E+03 .900E+02 .545073E+01 .109800E-01 16.56
108  46  62   5 .120E+02 .200E+01 .638688E+01 .155500E-01 15.68
109  46  63   0 .200E+03 .800E+02 .509722E+01 .552800E-01 18.06
111  46  65   0 .360E+03 .470E+02 .488432E+01 .142190E+00 18.13
108  47  61   1 .310E+02 .600E+01 .726960E+01 .600000E-03 15.37
110  47  63   1 .220E+02 .400E+01 .680920E+01 .100000E-03 16.75
107  48  59   0 .135E+03 .350E+02 .680982E+01 .186900E-01 14.90
109  48  61   0 .120E+03 .300E+02 .617261E+01 .982000E-02 16.15
111  48  63   0 .155E+03 .200E+02 .572617E+01 .167000E-02 16.58
112  48  64   1 .260E+02 .400E+01 .655946E+01 .599000E-02 15.66
113  48  65   0 .200E+03 .400E+02 .535667E+01 .131700E-01 17.19
114  48  66   1 .270E+02 .350E+01 .625065E+01 .908000E-02 16.26
115  48  67   0 .235E+03 .350E+02 .492045E+01 .154900E-01 17.95
117  48  69   0 .390E+03 .900E+02 .459070E+01 .264100E-01 18.12
114  49  65   9 .780E+01 .110E+01 .727440E+01 .116000E-02 15.82
116  49  67   9 .107E+02 .600E+00 .678431E+01 .810000E-03 16.29
113  50  63   0 .157E+03 .520E+02 .634703E+01 .521500E-01 15.15
115  50  65   0 .230E+03 .800E+02 .589040E+01 .330000E-02 15.00
116  50  66   1 .440E+02 .220E+02 .656833E+01 .340000E-02 14.73
117  50  67   0 .380E+03 .130E+03 .530979E+01 .301000E-02 15.40
118  50  68   1 .450E+02 .100E+02 .617654E+01 .511000E-02 15.10
119  50  69   0 .600E+03 .150E+03 .485686E+01 .542000E-02 15.66
120  50  70   1 .620E+02 .120E+02 .588897E+01 .909000E-02 15.05
121  50  71   0 .100E+04 .300E+03 .467418E+01 .271400E-01 15.54
123  50  73   0 .160E+04 .800E+03 .440361E+01 .314200E-01 15.34
125  50  75   0 .250E+04 .120E+04 .423854E+01 .254100E-01 15.13
122  51  71   5 .180E+02 .200E+01 .680694E+01 .970000E-03 16.01
124  51  73   7 .240E+02 .240E+01 .646745E+01 .700000E-04 16.04
123  52  71   0 .140E+03 .500E+02 .583912E+01 .153000E-02 17.14
124  52  72   1 .180E+02 .400E+01 .683783E+01 .264000E-02 16.31
125  52  73   0 .220E+03 .500E+02 .554304E+01 .278000E-02 17.23
126  52  74   1 .380E+02 .300E+01 .660441E+01 .259000E-02 15.82
127  52  75   0 .600E+03 .100E+03 .533275E+01 .166900E-01 16.27
129  52  77   0 .200E+04 .600E+03 .514292E+01 .152200E-01 14.81
131  52  79   0 .570E+04 .800E+03 .508477E+01 .329500E-01 13.53
128  53  75   5 .190E+02 .500E+01 .682607E+01 .500000E-04 16.06
130  53  77   7 .270E+02 .500E+01 .650033E+01 .400000E-04 16.03
125  54  71   0 .630E+02 .300E+01 .652867E+01 .373000E-02 17.03
129  54  75   0 .260E+03 .160E+02 .584451E+01 .432000E-02 16.33
130  54  76   1 .320E+02 .300E+01 .673986E+01 .348000E-02 15.86
131  54  77   0 .190E+03 .600E+02 .553147E+01 .301000E-02 17.55
132  54  78   3 .400E+02 .150E+02 .653353E+01 .291000E-02 15.22
133  54  79   0 .750E+03 .230E+02 .540191E+01 .876000E-02 15.71
136  54  82   3 .500E+03 .100E+03 .569234E+01 .295600E-01 13.27
134  55  79   7 .200E+02 .200E+01 .689154E+01 .100000E-04 15.75
135  55  80   8 .130E+02 .240E+01 .781112E+01 .166000E-02 14.66
137  55  82  10 .580E+02 .120E+02 .694971E+01 .430000E-02 13.44
131  56  75   0 .660E+02 .700E+01 .640900E+01 .124100E-01 17.31
133  56  77   0 .135E+03 .330E+02 .609776E+01 .690000E-02 16.87
135  56  79   0 .380E+03 .100E+03 .584619E+01 .180300E-01 15.74
