0  1  n   0       0.0     0.0      -1.0              -1.0              -1.0              -1.0              -1.0             
  13 N    7   20063.95    1.04   1943.51    0.27     -1.0            5405.73    0.99  -5489.05    0.47  -1058.89    0.46    
  13 O    8   17008.43   20.78   1516.32    9.58     -1.0            8861.02  180.25 -11724.0   400.0   13058.58    9.53    
0 14 Be   4    1847.37  513.98     -1.0           31875.94  108.06    497.0  1003.0    3950.59  111.41     -1.0             
  14 B    5     969.80   21.24  17283.68  502.94  -9945.0   401.0    9298.14   25.98   8353.82   22.14 -11485.72   34.42    
  14 C    6    8176.44    0.00  20831.29    1.08     -1.0             361.80    1.40   -784.03    0.42 -11507.67    6.36    
  14 N    7   10553.36    0.27   7550.56    0.00     -1.0           13574.23    0.00  -2923.06    0.95   -158.16    0.42    
  14 O    8   23175.60    9.53   4627.97    0.28     -1.0            1379.18    1.00 -12090.01  180.00   3002.34    0.95    
  14 F    9      -1.0           -3209.0   401.0      -1.0           12271.0   401.0      -1.0           14294.0   439.0     
0 15 B    5    2768.12   30.83  18204.43  110.35  12189.93  135.65   6019.30  502.99   8754.59   26.94 -15482.0   997.0     
  15 C    6    1218.07    0.80  21079.56   21.23     -1.0            4021.74    1.35   1368.30    1.61  -9556.85   15.03    
  15 N    7   10833.30    0.00  10207.42    0.00     -1.0            7687.24    0.00   4965.50    0.00  -7621.05    1.40    
  15 O    8   13222.39    0.51   7297.00    0.50     -1.0            8220.74    0.57  -9618.64    1.12   8501.80    0.50    
  15 F    9   24903.0   422.0   -1481.58  133.79     -1.0            4377.08  134.13 -10406.78  135.06   5085.33  133.80    
0 16 B    5     -43.43   64.04     -1.0           26401.43   60.57   7910.10  123.60   8287.30  506.06     -1.0             
  16 C    6    4250.35    3.67  22561.79   22.66 -10298.28   20.79    741.20   21.51   1995.97    3.74 -14317.92  502.51    
  16 N    7    2489.33    2.62  11478.68    2.74     -1.0           13374.35    2.62   7422.48    2.62  -5232.37    2.84    
  16 O    8   15663.71    0.50  12127.41    0.00     -1.0            3110.39    0.00  -5218.40    0.27  -2215.60    0.00    
